title,artist,Tipo Disco,Estado,Query,ISRC,Id Titulo,Título encontrado,Versión del título,Id Artista,Artista encontrado,Disco,Tipo Disco encontrado,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH9800146,1762148,Enjoy the Silence,,47445,Depeche Mode,The Singles 86-98,Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0600292,36114847,Enjoy the Silence,,47445,Depeche Mode,Violator (Deluxe),Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0600292,818634,Enjoy the Silence,,47445,Depeche Mode,Violator (2006 Digital Remaster),Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400045,148784769,Enjoy the Silence,,47445,Depeche Mode,"Violator | The 12"" Singles",Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0602198,832400,Enjoy the Silence,,47445,Depeche Mode,"The Best of Depeche Mode, Vol. 1 (Deluxe)",Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0602198,829080,Enjoy the Silence,,47445,Depeche Mode,"The Best of Depeche Mode, Vol. 1",Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400051,148784774,Enjoy the Silence,Harmonium,47445,Depeche Mode,"Violator | The 12"" Singles",Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400045,46369107,Enjoy the Silence,,47445,Depeche Mode,DMBX4,Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400050,148784773,Enjoy the Silence,Bass Line,47445,Depeche Mode,"Violator | The 12"" Singles",Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400051,46369113,Enjoy the Silence,Harmonium,47445,Depeche Mode,DMBX4,Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBYYH2066816,193286027,Enjoy The Silence,,47445,Depeche Mode,Depeche Mode - KROQ FM Broadcast Dodgers Stadium Los Angeles CA. 5th August 1990. 2 CD,Studio,,16,44.1,2
Enjoy the Silence,Depeche Mode,Studio,Encontrada,Enjoy the Silence Depeche Mode,GBAJH0400050,46369112,Enjoy the Silence,Bass Line,47445,Depeche Mode,DMBX4,Studio,,16,44.1,2
